"Byerly's","5725 Duluth St",,"Golden Valley","MN",55422,"763-544-0312",44.999141,-93.352870
"Caribou Corporate HQ","3900 Lakebreeze Ave N",,"Brooklyn Center","MN",55429,"763-592-2302",45.042778,-93.330673
"Carmel Village","7510 Pineville Matthews Rd",,"Charlotte","NC",28226,"704-752-7880",35.087802,-80.845489
"Clintonville Commons","3645 N High St",,"Columbus","OH",43214,"614-262-8770",40.036257,-83.017107
"Coborn's","19425 Evans St NW",,"Elk River","MN",55330,"763-441-7607",45.324414,-93.560905
"Crossroads Mall","4101 W Division St",,"St. Cloud","MN",55301,"320-656-0074",45.553401,-94.208673
"Crystal City","2100 Crystal Dr",,"Arlington","VA",22202,"703-414-0990",38.854328,-77.049446
"DeKalb County Shopping Center Outlet","2385 Sycamore Rd",,"DeKalb","IL",60115,"815-758-2880",41.951194,-88.726721
"Detroit Metropolitan Airport","McNamara Terminal A - Gate A74",,"Detroit","MI",48242,"734-941-4807",42.215931,-83.369576
"Detroit Metropolitan Airport","Domestic Baggage Claim",,"Detroit","MI",48242," ",42.206905,-83.360657
"Detroit Metropolitan Airport","McNamara Terminal A - Gate 60A",,"Detroit","MI",48242," ",42.219364,-83.351730
"Dulles Towne Center","21100 Dulles Town Circle",,"Sterling","VA",20166,"703-430-7444",39.032767,-77.420329
"Eden Prairie Center","8251 Flying Cloud Dr",,"Eden Prairie","MN",55344,"952-944-6944",44.856232,-93.427288
"Eden Prairie Transit Station","13250 Technology Dr",,"Eden Prairie","MN",55344,"952-906-1129",44.858606,-93.442964
"Fair Oaks Mall","11750 Fair Oaks",,"Fairfax","VA",22033,"703-277-3383",38.863901,-77.355172
"Fairfax Corner","11947 Grand Commons Ave",,"Fairfax","VA",22030,"703-815-2001",38.857857,-77.357681
"Far Hills Square","5839 Far Hills Ave",,"Dayton","OH",45429,"937-432-9326",39.661562,-84.158887
"Garrison Forest Shopping Center","10351 Reisterstown Rd",,"Owings Mills","MD",21117,"410-998-9290",39.417807,-76.777705
"Gaviidae Common","555 Nicollet Mall",,"Minneapolis","MN",55402,"612-349-9360",44.978266,-93.271042
"Gaviidae Common","651 Nicollet Mall",,"Minneapolis","MN",55402,"612-338-3814",44.977354,-93.271804
"General Mills (not open to the public)","One General Mills Blvd",,"Golden Valley","MN",55426,"763-293-1111 ",44.972257,-93.391028
"Hartsfield-Jackson Atlanta International Airport","Concourse E - Centerpoint",,"Atlanta","GA",30320,"404-209-0065",33.640652,-84.445213
"Hennepin Plaza","2300 Hennepin Ave.",,"Minneapolis","MN",55405,"612-374-2884",44.959634,-93.293685
"Hibbing Marketplace","4100 9th Ave Nwest",,"Hibbing","MN",55746,"218-262-0804",47.399045,-92.952078
"Hornbacher's","4151 45th St S",,"Fargo","ND",58104,"701-281-1872",46.831315,-96.862037
"Hornbacher's","1532 32nd Ave S",,"Fargo","ND",58103,"701-293-2636",46.832621,-96.802762
"Hornbacher's","4101 13th Ave S",,"Fargo","ND",58103,"701-282-9431",46.861829,-96.849491
"Hubert H. Humphrey Terminal","7150 Humphrey Dr",,"Minneapolis","MN",55450,"612-726-6289",44.875092,-93.225825
"Hudson Marketplace","105 Carmichael Rd",,"Hudson","WI",54016,"715-377-7981",44.965832,-92.721227
"Hunt Valley Towne Center","110 Shawan Rd",,"Hunt Valley","MD",21030,"410-229-0112",39.495833,-76.650795
"Kahler Inn","9 Third Ave NW",,"Rochester","MN",55901,"507-280-4375",44.023576,-92.467425
"Kings Park Shopping Center","8938 Burke Lake Rd",,"Springfield","VA",22151,"703-426-4660",38.808909,-77.253442
"Knollwood Mall","8208 Hwy 7",,"St. Louis Park","MN",55426,"952-933-4592",44.936040,-93.383128
"Lunds Market","11400 Hwy 7",,"Minnetonka","MN",55343,"952-933-9876",44.905322,-93.791471
"Lunds Market","1151 E Wayzata Blvd",,"Wayzata","MN",55391,"952-404-0143",44.971142,-93.499491
"Lunds Market","25 University Ave Seast",,"Minneapolis","MN",55414,"612-331-3617",44.987354,-93.255653
"Lunds Market","3333 Shoreline Dr",,"Orono","MN",55392,"952-471-0602",44.934664,-93.609002
"Lunds Market","1450 W Lake St",,"Minneapolis","MN",55408,"612-825-6720",44.948361,-93.299760
"Lunds Market","3455 Vicksburg Ln",,"Plymouth","MN",55447,"763-383-8770",45.020070,-93.481835
"Lunds Market","3945 W 50th St",,"Edina","MN",55435,"952-920-1693",44.912517,-93.330175
"Lunds Market","5159 W 98th St",,"Bloomington","MN",55437,"952-837-0832",44.825300,-93.346921
"Lunds Market","6228 Penn Aveune S",,"Richfield","MN",55423,"612-243-1581",44.889778,-93.308670
"Main St Commons ","3689 E Main St",,"St. Charles","IL",60174,"630-513-9447",41.921282,-88.272783
"Mall of America","194 N Garden",,"Bloomington","MN",55425,"952-854-2501",44.856036,-93.241131
"Mall of America","232 N Garden",,"Bloomington","MN",55425,"952-858-8360",44.856038,-93.241417
"Mall of America","380 S Ave",,"Bloomington","MN",55425,"952-854-7828",44.859953,-93.252925
"Mall of America","Park at MOA",,"Bloomington","MN",55425,,44.854546,-93.241951
"Mankato Mall","1850 Adams St",,"Mankato","MN",56001,"507-345-1103",44.170476,-93.952442
"Mapleridge Mall","2515 White Bear Ave",,"Maplewood","MN",55109,"651-748-9085",45.017095,-93.019814
"Maplewood Mall","3001 White Bear Ave",,"Maplewood","MN",55109,"651-770-9454",45.031616,-93.018133
"Marketplace of Vernon Hills","375 N Milwaukee",,"Vernon Hills","IL",60061,"847-821-9107",42.235826,-87.943743
"Mequon Pavilion Shopping Center","11104 N Port Washington Rd",,"Mequon","WI",53092,"262-240-0268",43.219296,-87.923976
"Miller Hill Mall","1600 Miller Trunk Hwy",,"Duluth","MN",55811,"218-727-9154",46.850638,-92.274487
"Montgomery Mall","7101 Democracy Blvd",,"Bethesda","MD",20817,"301-365-2259",39.022421,-77.148452
"Montgomery Mall","7107 Democracy Blvd",,"Bethesda","MD",20817,"301-365-2321",39.022429,-77.148493
"Nall Valley Shoppes","5336 W 151st St",,"Leawood","KS",66224,"913-814-9411",38.854675,-94.647361
"Ngate Plaza","13874 Georgia Ave",,"Aspen Hill","MD",20906,"301-460-1123",39.082415,-77.077180
"Nwest Shopping Center","581 E Dundee Rd",,"Palatine","IL",60074,"847-705-7180",42.139100,-88.028518
"Olde Raleigh","3101 Charles B. Root Wynd",,"Raleigh","NC",27612,"919-787-9611",35.824891,-78.708474
"Park Village","5400 Excelsior Blvd",,"St. Louis Park","MN",55416,"952-922-6242",44.930615,-93.349120
"Potomac Station","647 Potomac Station Dr",,"Leesburg","VA",20176,"703-669-2291",39.097803,-77.523902
"Rand Tower","527 Marquette Ave",,"Minneapolis","MN",55402,"612-341-9936",44.977959,-93.269448
"Richmond International Airport","A Concourse",,"Richmond ","VA",23250," ",37.500851,-77.508756
"Richmond International Airport","Atrium",,"Richmond","VA",23250," ",37.507378,-77.332420
"Ridgedale Mall","12401 Wayzata Blvd.",,"Minnetonka","MN",55343,"952-544-0939",44.970440,-93.434842
"Rock Creek Village","5562 Norbeck Rd",,"Rockville","MD",20853,"301-460-0047",39.095502,-77.111552
"Shoppes at Wside Plaza ","400 W 5th St",,"Northfield","MN",55057,"507-645-7650",44.455083,-93.164420
"Short Pump Town Center","11800 W Broad St",,"Richmond ","VA",23233,"804-360-2445",37.653503,-77.621208
"S Riding Market Square","25050 Riding Plaza",,"Chantilly","VA",20152,"703-327-7718",38.924286,-77.521123
"Sport Shopping Center","3835 W Old Shakopee Rd",,"Bloomington","MN",55431,"952-881-4230",44.810729,-93.328589
"SSide Works","2729 E Carson St",,"Pittsburgh","PA",15203,"412-488-8490",40.426848,-79.966736
"Sparrow Plaza","2010 W 183rd St",,"Homewood","IL",60430,"708-647-8938",41.557189,-87.665744
"Subway Level - Rochester Marriott","101 First Ave Swest",,"Rochester","MN",55902,"507-288-6230",44.022520,-92.464524
"Super Target","18444 Kenrick Ave",,"Lakeville","MN",55044,"952-898-1550",44.682498,-93.289704
"The Cloisters","999 Waukegan Rd",,"Glenview","IL",60025,"847-729-7590",42.072695,-87.798763
"The Greene","45 Plum St",,"Beavercreek","OH",45440,"937-429-4031",39.694046,-84.102829
"The Marketplace at College Park","17378 Haggerty Rd",,"Livonia","MI",48152,"734-462-7582",42.414088,-83.432574
"The Quarry","1730 New Brighton Blvd",,"Minneapolis","MN",55413,"612-788-1796",45.005088,-93.227269
"The Shoppes at Central Park","1257 Carl D. Silver Pkwy",,"Fredericksburg","VA",22401,"540-548-2122",38.298699,-77.511910
"Town Square Shopping Center","55 W Schaumburg Rd",,"Schaumburg","IL",60194,"847-524-1920",42.027263,-88.081405
"Triangle Town Center","5959 Triangle Town Blvd",,"Raleigh","NC",27616,"919-792-2595",35.864900,-78.571487
"Tuileries Plaza","6370 N Lucerne",,"Kansas City","MO",64151,"816-587-8648",39.234034,-94.653823
"Tylersville Crossing","7755 Cox Ln",,"West Chester","OH",45069,"513-759-4536",39.353717,-84.366312
"US Bank","225 S Sixth St",,"Minneapolis","MN",55402,"612-333-5003",44.976579,-93.268353
"US Bank Plaza","200 S 6th St",,"Minneapolis","MN",55402,"612-338-1170",44.976714,-93.268675
"Vass Shopping Center","5899 Nwest Hwy",,"Crystal Lake","IL",60014,"815-788-2748",42.226218,-88.313325
"Village at Waugh Chapel","2638 Chapel Lake Dr",,"Gambrills","MD",21054,"410-451-2845",39.035431,-76.682117
"Washington Dulles International Airport","Main Terminal",,"Dulles","VA",20166," ",38.950600,-77.446144
"W Bay Plaza","29990 Detroit Rd",,"Westlake","OH",44145,"440-835-8739",41.463498,-81.952845
"W Publishing (not open to the public)","610 Opperman Dr",,"Eagan","MN",55123,"651-687-8529",44.828080,-93.115488
"Wmarket Square","47490 Grand River Ave",,"Novi","MI",48374,"248-305-9072",42.490238,-83.517838
"Windpoint Shopping Center","201 N Randall Rd",,"Batavia","IL",60510,"630-406-5960",41.854241,-88.340464
"Winslow Bay Commons ","690 Bluefield Rd",,"Mooresville","NC",28117,"704-658-1060",35.595582,-80.868594
"Yorkdale Shoppes","6805 York Ave S",,"Edina","MN",55435,"952-929-4734",44.892143,-93.320086
"5201 Leesburg Pike","Three Skyline Pl","#102","Falls Church","VA",22041,"703-820-8533",38.844006,-77.118950
"Riverbrook Shopping Center","1523 N Aurora Rd","#107","Naperville","IL",60563,"630-961-1018",41.779638,-88.187004
"Oakdale Village","8360 - 3rd St N","#A102","Oakdale","MN",55128,"651-714-9092",44.952855,-92.970541
"Silver Lake Village","2700 39th Ave NE","#A120","St. Anthony","MN",55421,"612-788-0170",45.039313,-93.218359
"The Galleria","1920 Sardis Rd N","Suite A","Charlotte","NC",28270,"704-847-6048",35.141356,-80.734199
"W Ridge Plaza","11210 Wayzata Blvd","Suite E","Minnetonka","MN",55305,"952-545-2140",44.973213,-93.421191
,"1380 Duckwood Dr","#101","Eagan","MN",55123,"651-994-8950",44.827320,-93.165911
,"3900 Market Pl Dr NW","#101","Rochester","MN",55901,"507-252-0066",44.064083,-92.502197
,"3044 Excelsior Blvd","#103","Minneapolis","MN",55416,"612-285-9650",44.947378,-93.320698
,"2350 43rd St NW","#105","Owatonna","MN",55060,"507-451-9589",44.137027,-93.253882
,"6300 Robert Kingery Hwy","#126-128","Willowbrook","IL",60514,"630-734-0493",41.795879,-87.946684
,"2879 95th St","#147","Naperville","IL",60564,"630-904-5967",41.709875,-88.196302
,"4345 Pheasant Ridge Dr","#210","Blaine","MN",55449,"763-784-0677",45.162432,-93.168679
,"8048 Old Carriage Court","#220","Shakopee","MN",55379,"952-402-0223",44.776569,-93.416045
,"733 Marquette Ave S","#223","Minneapolis","MN",55402,"612-332-4849",44.976304,-93.270843
,"1072 Spring Hill Mall","#3509","West Dundee","IL",60118,"847-783-4776",42.098398,-88.289397
,"3630 Peachtree","#501","Suwanee","GA",30024,"770-622-0842",34.070950,-84.167060
,"285 N Randall Rd","#A2","Lake in the Hills","IL",60102,"847-854-2849",42.184302,-88.335456
,"50 Public Square","945 Terminal Tower Suite K1","Cleveland","OH",44113,"216-696-8160",41.499568,-81.694754
,"MSP Airport","E Concourse","Minneapolis","MN",55111,"612-726-1165",44.882572,-93.215477
,"MSP Airport","F Concourse","Minneapolis","MN",55111,"612-727-1750",44.886707,-93.211441
,"MSP Airport","G Concourse","Minneapolis","MN",55111,"612-727-1653",44.879593,-93.209297
,"MSP Airport","Northstar Concourse","Minneapolis","MN",55111,"612-726-9305",44.883911,-93.203804
,"42385 Ryan Rd","Space #110","Ashburn","VA",20148,"703-327-1443",38.986604,-77.538001
,"811 W Maxwell","Space 11A","Chicago","IL",60608,"312-738-3570",41.864766,-87.647229
,"7804 Fairview Rd","Space B","Charlotte","NC",28226,"704-367-0050",35.147484,-80.809778
,"5043 Tuttle Crossing Blvd","Space K112","Dublin","OH",43016,"614-760-3729",40.076539,-83.129314
,"307 N Nokomis Square","Suite #113","Alexandria","MN",56308,"320-763-8090",45.893436,-95.366587
,"2864 Hwy 55","Suite 100","Eagan","MN",55121,"651-686-5677",44.854616,-93.134604
,"12655 University Ave","Suite 100","Clive","IA",50325,"515-457-3078",41.600477,-93.792883
,"1100 E County Rd 42","Suite 101","Burnsville","MN",55337,"952-953-6459",44.738220,-93.259514
,"730 Apollo Dr","Suite 106","Lino Lakes","MN",55014,"651-784-2214",45.183360,-93.112574
,"1250 Scenic Hwy 124","Suite 1400","Lawrenceville","GA",30045,"770-985-0047",33.950445,-83.982561
,"1625 13th Ave E","Suite 200","West Fargo","ND",58078,"701-277-0783",46.861882,-96.871297
,"1202 County Rd PH","Suite 200","Onalaska","WI",54650,"608-779-4172",43.869643,-91.207730
,"123 Perimeter Center W","Suite 200","Atlanta","GA",30346,"770-391-9910",33.926455,-84.338513
,"444 Cedar St","Suite 212","St. Paul","MN",55101,"651-222-3130",44.948750,-93.095593
,"20530 N Rand Rd","Suite 438","Deer Park","IL",60010,"847-438-8396",42.161539,-88.051495
,"7845 Colony Rd","Suite 6","Charlotte","NC",28226,"704-541-4724",35.105817,-80.807980
,"3500 Vicksburg Ln","Suite 700","Plymouth","MN",55447,"763-557-5715",45.020597,-93.481635
,"5135 Peachtree Pkwy","Suite 930","Atlanta","GA",30092,"770-797-9126",34.022941,-84.137895
,"6975 W Central Ave","Suite A","Toledo","OH",43617,"419-720-8112",41.674089,-83.710332
,"4747 Tylersville Rd","Suite A","West Chester","OH",45069,"COMING SOON",39.361600,-84.450401
,"2130 Ayrsley Town Blvd","Suite A","Charlotte","NC",28273,"980-297-7501",35.138425,-80.933612
,"10400 Baltimore St","Suite B-124","Blaine","MN",55449,"763-792-4994",45.159917,-93.232683
,"303 Peachtree St NE","Suite BL-7","Atlanta","GA",30308,"404-681-0208",33.763131,-84.386842
,"2445 75th St","Suite E","Darien","IL",60561,"630-427-1693",41.751185,-88.005621
,"6315 Sashabaw Rd","Suite I","Clarkston","MI",48346,"248-625-5066",42.730548,-83.379581
,"418 N Mayfair Rd","Unit 1","Wauwatosa","WI",53226,"414-777-0280",43.035798,-88.046831
,"645 Aurora Rd","Unit 2-1","Macedonia","OH",44056,"330-467-2835",41.313897,-81.516525
,"1400 County Rd 101","Unit A","Plymouth","MN",55447,"763-473-1339",44.993945,-93.501947
,"1924 S Minnesota Ave",,"Sioux Falls","SD",57105,"605-338-9666",43.528223,-96.731295
,"1080 Hwy 96",,"White Bear Lake","MN",55127,"651-429-6315",45.079186,-93.056849
,"3100 White Bear Ave N",,"Maplewood","MN",55109,"651-779-7345",45.034355,-93.017612
,"3220 Ingersoll Ave",,"Des Moines","IA",50312,"515-274-1644",41.586305,-93.661046
,"3354 Rice St",,"Little Canada","MN",55126,"651-481-7137",45.042977,-93.106264
,"726 Main St",,"Red Wing","MN",55066,"651-388-1910",44.564331,-92.538330
,"2111 Snelling Ave N",,"Roseville","MN",55113,"651-636-5655",45.004507,-93.166559
,"14121 Q St",,"Omaha","NE",68137,"402-896-4339",41.205318,-96.133880
,"1450 - 25th St SW",,"Fargo","ND",58103,"701-298-7745",46.858726,-96.819550
,"15805 W Maple Rd",,"Omaha","NE",68116,"402-496-6367",41.292033,-96.160619
,"17650 Wright St",,"Omaha","NE",68130,"402-334-4748",41.232974,-96.197426
,"100 6th St",,"Monticello","MN",55362,"763-295-9773",45.301656,-93.797160
,"109 Maynard Rd",,"Cary","NC",27511,"919-319-6265",35.771127,-78.781512
,"11008 61st St Neast",,"Albertville","MN",55301,"763-428-1030",45.238640,-93.663265
,"1140 Elden St",,"Herndon","VA",20190,"703-668-9506",38.964320,-77.398105
,"11468 Jefferson Court",,"Champlin","MN",55316,"763-323-7408",45.160629,-93.393760
,"11611 Leona Rd",,"Eden Prairie","MN",55344,"952-941-9696",44.859843,-93.423445
,"121 Lauren Ln",,"Woodstock","GA",30189,"770-926-6379",34.042903,-84.674551
,"1275 Johnson Ferry Rd",,"Marietta","GA",30068,"770-971-5010",33.979989,-84.423251
,"1361 Heather St",,"Shakopee","MN",55379,"952-445-1004",44.782074,-93.507239
,"13635 Ndale Blvd",,"Rogers","MN",55374,"763-428-8107",45.201934,-93.553869
,"1370 Hamilton Rd",,"Gahanna","OH",43230,"614-478-7258",40.013543,-82.866967
,"14050 St Francis Blvd",,"Ramsey","MN",55303,"763-427-8381",45.225480,-93.397417
,"1595 Second Ave Neast",,"Cambridge","MN",55008,"763-689-2896",45.571131,-93.204766
,"1679 NW 86th St",,"Clive","IA",50325,"515-225-4173",41.606736,-93.736225
,"17999 Bagley Rd",,"Middleburg Heights","OH",44130,"440-239-0124",41.371943,-81.828290
,"1823 Market Blvd",,"Hastings","MN",55033,"651-480-3708",44.737261,-92.892612
,"1890A Meadow Ln",,"Waukesha","WI",53151,"262-513-1365",43.015358,-88.077339
,"19260 Freeport St NW A-109B",,"Elk River","MN",55330,"763-441-1169",45.319751,-93.563207
,"1966 Bunker Lake Blvd NW",,"Andover","MN",55304,"763-754-2121",45.219413,-93.315180
,"2001 Cliff Rd E",,"Burnsville","MN",55337,"952-895-1976",44.790327,-93.241915
,"2011 Mount Zion Rd",,"Morrow","GA",30260,"770-478-0544",33.563331,-84.324736
,"2020 S Pokegama Ave",,"Grand Rapids","MN",55744,"218-326-0542",47.211030,-93.528828
,"2073 W Wayzata Blvd",,"Long Lake","MN",55356,"952-473-1302",44.988343,-93.577137
,"2168 Randall Rd",,"Carpentersville","IL",60110,"847-836-9450",42.119094,-88.335122
,"2220 Union Lake Rd",,"Commerce","MI",48382,"248-363-7589",42.604272,-83.446494
,"2319 1st St S",,"Willmar","MN",56201,"320-235-8159",45.099352,-95.042589
,"2321 Hwy 25 N Cedar Falls Rd",,"Menomonie","WI",54751,"715-235-3627",44.912457,-91.934448
,"2340 W 7th St",,"St. Paul","MN",55116,"651-698-0437",44.904044,-93.165558
,"23420 Lorain Rd",,"North Olmsted","OH",44070,"440-777-1810",41.434070,-81.880834
,"2445 2nd St",,"Coralville","IA",52241,"319-354-2297",41.684890,-91.601917
,"2585 County Rd 10",,"Mounds View","MN",55112,"763-786-1529",45.093517,-93.209757
,"2799 Hamilton Blvd",,"Sioux City","IA",51104,"712-252-5422",42.540554,-96.407888
,"2870 N Druid Hills Rd NE",,"Atlanta","GA",30329,"404-636-0961",33.817632,-84.311993
,"3261 Peachtree Rd NE",,"Atlanta","GA",30305,"404-261-0020",33.844053,-84.370726
,"3507 Round Lake Blvd",,"Anoka","MN",55303,"763-421-4811",45.217553,-93.357511
,"3832 E Grand River Ave",,"Howell","MI",48843,"517-545-3150",42.588101,-83.877736
,"4520 Roswell Rd",,"Atlanta","GA",30342,"404-303-8244",33.878411,-84.379769
,"514 Randall Rd",,"South Elgin","IL",60177,"847-741-7012",41.977222,-88.340566
,"5663 Manitou Rd",,"Tonka Bay","MN",55331,"952-401-1067",44.901532,-93.589232
,"6035 Durand Ave",,"Racine","WI",53406,"262-554-7677",42.697344,-87.852599
,"6139 Kruse Dr",,"Solon","OH",44139,"440-248-4140",41.392182,-81.441282
,"7038 Walton St",,"Rockford","IL",61108,"815-397-9568",42.267125,-88.979297
,"719 Hebron Rd",,"Heath","OH",43056,"740-788-8060",40.018051,-82.450528
,"761 E 81st Pl",,"Merrillville","IN",46410,"219-736-4973",41.470708,-87.329838
,"7950 Penn Ave S",,"Bloomington","MN",55431,"952-888-1504",44.859678,-93.308823
,"8097 Hwy 65",,"Spring Lake Park","MN",55432,"763-784-8542",45.114954,-93.241570
,"8719 Owenfield Dr",,"Powell","OH",43065,"740-548-7832",40.164489,-83.021172
,"8749 Sancus Blvd",,"Columbus","OH",43240,"614-846-2029",40.141896,-82.990428
,"8881 Jefferson Hwy",,"Osseo","MN",55369,"763-493-0055",45.114708,-93.402211
,"9008 Cahill Ave",,"Inver Grove Heights","MN",55077,"651-455-9786",44.812625,-93.039666
,"9638 Colorado Ln N",,"Brooklyn Park","MN",55445,"763-488-1506",45.096330,-93.360196
,"Paul Bunyon Dr & Hwy 197",,"Bemidji","MN",56601,"218-751-9342",47.495575,-94.911293
,"12624 Washington Ln",,"Englewood","CO",80112,"303-799-1258",39.537991,-104.843766
,"2400 S Washington St",,"Grand Forks","ND",58201,"701-775-3668",47.896671,-97.045577
,"2721 W 120th Ave",,"Westminster","CO",80031,"303-410-1305",39.914096,-105.029133
,"8722 Shawnee Mission Pkwy",,"Merriam","KS",66202,"913-789-9266",39.014985,-94.687408
,"1004 Gateway Dr",,"Chaska","MN",55318,"952-361-0035",44.804981,-93.577293
,"1147 N Eola Rd",,"Aurora","IL",60504,"630-499-0480",41.733617,-88.253530
,"2716 N Sutton Rd",,"Hoffman Estates","IL",60192,"847-645-0877",42.027192,-88.202911
,"3432 County Rd 101",,"Minnetonka","MN",55343,"952-476-5891",44.993933,-93.501947
,"4345 Nathan Ln N",,"Plymouth","MN",55442,"763-551-4762",45.033859,-93.408632
,"5545 Mills Civic Pkwy",,"West Des Moines","IA",50266,"515-225-1219",41.559252,-93.781730
,"7988 Sunwood Dr NW",,"Ramsey","MN",55303,"763-427-7420",45.234661,-93.434150
,"1406 E Franklin St",,"Chapel Hill","NC",27514,"919-968-3735",35.928069,-79.034771
,"4135 W Division St",,"St. Cloud","MN",56301,"320-252-2805",45.553412,-94.209253
,"1027 Freeport Rd",,"Pittsburgh","PA",15238,"412-781-1483",40.500904,-79.852188
,"122 Hawthorn Center",,"Vernon Hills","IL",60061,"847-362-2548",42.241196,-87.946617
,"12455 W Capitol Dr",,"Brookfield","WI",53005,"262-373-1657",43.088858,-88.067559
,"1635 Algonquin Rd",,"Rolling Meadows","IL",60006,"847-734-1007",42.055137,-87.999021
,"18157 Carson Court",,"Elk River","MN",55330,"763-241-0269",45.304884,-93.556291
,"231 Peachtree St",,"Atlanta","GA",30303,"404-688-3355",33.760324,-84.387532
,"4115 S 28th St",,"Arlington","VA",22206,"703-578-0052",38.840940,-77.090631
,"4717 Hwy 101",,"Minnetonka","MN",55345,"952-939-8108",44.918545,-93.503057
,"5001 Monroe St",,"Toledo","OH",43623,"419-472-8701",41.697620,-83.640448
,"855 S Randall Rd",,"Elgin","IL",60123,"847-841-7190",42.013399,-88.336235
,"90 E Nwest Hwy",,"Mt. Prospect","IL",60056,"847-259-2080",42.062999,-87.935294
,"917 Washington Ave SE",,"Minneapolis","MN",55414,"612-331-4121",44.973610,-93.225361
,"9425 Lorton Market St",,"Lorton","VA",22079,"703-372-1510",38.700008,-77.222191
,"1110 S 71st St",,"Omaha","NE",68124,"402-391-4400",41.257858,-96.022804
,"1 N Charles St",,"Baltimore","MD",21201,"410-545-0604",39.289553,-76.615145
,"10 S. LaSalle",,"Chicago","IL",60603,"312-609-5108",41.889183,-87.632519
,"100 E Station St",,"Barrington","IL",60010,"847-381-2418",42.153304,-88.135973
,"100 N Tryon St",,"Charlotte","NC",28202,"704-372-5507",35.227208,-80.843072
,"100 S 5th St",,"Minneapolis","MN",55402,"612-332-0702",44.978210,-93.269217
,"1000 Piedmont Ave NE",,"Atlanta","GA",30309,"404-870-0711",33.781800,-84.380458
,"1010 Mansell Rd Suite 100",,"Roswell","GA",30076,"678-461-7649",34.042639,-84.329498
,"10160 6th Ave N",,"Plymouth","MN",55411,"763-544-0862",44.996956,-93.536906
,"1055 Grand Ave",,"St. Paul","MN",55105,"651-221-0140",44.939979,-93.144698
,"10997 Red Circle Dr",,"Minnetonka","MN",55343,"952-912-9750",44.894289,-93.420028
,"110 W Franklin St",,"Chapel Hill","NC",27514,"919-933-5404",35.913334,-79.055307
,"1101 17th St NW",,"Washington","DC",20036,"202-223-6828",38.903737,-77.038512
,"11057 W Lincoln Hwy",,"Frankfort","IL",60423,"815-806-9443",41.503060,-87.887086
,"1116 Nicollet Mall",,"Minneapolis","MN",55402,"612-338-0767",44.972847,-93.275682
,"112 S Woodward",,"Birmingham","MI",48009,"248-642-5560",42.546573,-83.214157
,"11257 Reed Hartman Hwy",,"Cincinnati","OH",45242,"513-469-1542",39.271154,-84.375810
,"1127 Larpenteur Ave W",,"Roseville","MN",55113,"651-487-5502",44.992045,-93.147693
,"113 Village Center Dr",,"North Oaks","MN",55127,"651-482-1623",45.081358,-93.117981
,"1148 Second St",,"Rochester","MN",55902,"507-281-1052",44.021629,-92.480068
,"115 E Broadway",,"Monona","WI",53716,"608-223-0194",43.047799,-89.324559
,"1156 15th St",,"Washington","DC",20005,"202-223-2331",38.904828,-77.034603
,"11627 Fountains Dr N",,"Maple Grove","MN",55369,"763-425-1327",45.091873,-93.426277
,"1183 N Roselle Rd",,"Hoffman Estates","IL",60195,"847-755-1074",42.048979,-88.079532
,"1211 S Robert St",,"West St. Paul","MN",55118,"651-450-5511",44.909788,-93.080605
,"1220 Caroline St",,"Atlanta","GA",30307,"404-589-3446",33.758481,-84.347992
,"12417 Ulysses St",,"Blaine","MN",55434,"763-755-5234",45.195624,-93.236455
