Store Name,Address,City,State/Province,Zip/Postal Code,Phone Number,Latitude,Longitude
Tim Hortons - Doan Bldg,"Doan Bldg,101 - 444 5th Ave SW",Calgary,AB,"T2P 2T8,(403) 398-5444",(403) 398-5444,51.04858,-114.07072
Tim Hortons - Gulf Canada Square,"Gulf Canada Square,401 9 Ave SW",Calgary,AB,"T2P 3C5,(403) 265-9045",(403) 265-9045,51.0448,-114.07044
Tim Hortons - Lake Bonavista Sq Shopping Ctr (DT),"Lake Bonavista Sq Shopping Ctr,12100 MacLeod Trail SE",Calgary,AB,"T2J 7G9,(403) 278-7322",(403) 278-7322,50.94373,-114.07018
Tim Hortons - MacEwan Hall Student Centre,"MacEwan Hall Student Centre,402 Collegiate Blvd NW",Calgary,AB,,(403) 220-5549,51.07888,-114.13382
Tim Hortons - Midlake Plaza (DT),"Midlake Plaza,15425 Bannister Rd SE",Calgary,AB,"T2X 1Z3,(403) 256-3451",(403) 256-3451,50.91461,-114.06552
Tim Hortons - Mount Royal College,"Mount Royal College,4825 Richard Rd SW",Calgary,AB,"T3E 6K6,(403) 440-6330",(403) 440-6330,51.01102,-114.127
Tim Hortons - Mr. Lube (DT),"Mr. Lube,3807 Bow Trail SW",Calgary,AB,"T3C 2E8,(403) 246-0228",(403) 246-0228,51.04529,-114.14174
Tim Hortons - Paramount Chinook,"Paramount Chinook,6455 Macleod Trail",Calgary,AB,"T2H 0K4,(403) 212-8098",(403) 212-8098,50.99607,-114.0717
Tim Hortons - Revy Home & Garden,"Revy Home & Garden,90 Crowfoot Way NW",Calgary,AB,"T3G 4C8,(403) 239-9400",(403) 239-9400,51.12428,-114.20336
Tim Hortons - RONA Home & Garden Centre,"RONA Home & Garden Centre,2665-32nd Street NE",Calgary,AB,"T1Y 6Z7,(403) 219-5800",(403) 219-5800,51.07716,-113.98864
Tim Hortons - South Trail Crossing (DT),"South Trail Crossing,4307 130 Ave SE",Calgary,AB,"T2Z 3V8,(403) 257-8031",(403) 257-8031,50.93192,-113.9704
Tim Hortons - Telus Building,"Telus Building,411 1 St E",Calgary,AB,"T2G 4Y5,(403) 262-8449",(403) 262-8449,51.04911,-114.06023
Tim Hortons - Trans Canada Mall,"Trans Canada Mall,550 - 1440 52 St NE",Calgary,AB,"T2A 4T8,(403) 248-8506",(403) 248-8506,51.06293,-113.9583
Tim Hortons - University of Calgary Murray Fraser Law Bldg,"University of Calgary Murray Fraser Law Bldg,2800 University Way NW",Calgary,AB,"T2N 1N4,(403) 220-5431",(403) 220-5431,51.07601,-114.12933
Tim Hortons - University of Calgary Science B Building,"University of Calgary Science B Building,834 Campus Way NW",Calgary,AB,"T2N 1N4,(403) 220-5431",(403) 220-5431,51.06717,-114.14202
Tim Hortons - 3601 48th Ave (DT),3601 48th Ave,Camrose,AB,"T4V 1L8,(780) 672-5087",(780) 672-5087,53.01218,-112.78884
Tim Hortons - 6602 48 Ave (DT),6602 48 Ave,Camrose,AB,"T4V 4R1,(780) 608-7626",(780) 608-7626,53.01801,-112.8556
Tim Hortons - 1729 Mountain Ave,1729 Mountain Ave,Canmore,AB,"T1W 2W1,(403) 678-9900",(403) 678-9900,51.1027,-115.36141
Tim Hortons - 1729 Mountain Ave (DT),1729 Mountain Ave,Canmore,AB,"T1W 2W1,(403) 678-8701",(403) 678-8701,51.1027,-115.36141
Tim Hortons - 120 Chestermere Station Way (DT),120 Chestermere Station Way,Chestermere,AB,"T1X 1V3,(403) 248-0000",(403) 248-0000,51.05086,-113.82393
Tim Hortons - 2516 21st Avenue (DT),2516 21st Avenue,Coaldale,AB,"T1M 0C1,403-345-2218",403-345-2218,49.72576,-112.61958
Tim Hortons - 12 Westside Dr (DT),12 Westside Dr,Cochrane,AB,"T4C 1M1,(403) 851-1515",(403) 851-1515,51.18938,-114.48875
Tim Hortons - 4301 50 St (DT),4301 50 St,Cold Lake,AB,"T9M 1K6,(780) 594-1330",(780) 594-1330,54.40708,-110.20519
Tim Hortons - 6803 51st Street (DT),6803 51st Street,Cold Lake,AB,"T9M 1Z9,(780) 594-1094",(780) 594-1094,54.43214,-110.2073
Tim Hortons - 283180 Range Rd (DT),283180 Range Rd,Crossfield,AB,"T0M 0S0,(403) 946-0490",(403) 946-0490,51.4093,-114.02519
Tim Hortons - 10070 163 St NW,10070 163 St NW,Edmonton,AB,"T5P 3N4,(780) 489-1664",(780) 489-1664,53.54079,-113.60268
Tim Hortons - 10110 Kingsway NW,10110 Kingsway NW,Edmonton,AB,"T5H 3V8,(780) 426-7974",(780) 426-7974,53.55451,-113.49372
Tim Hortons - 10150 Jasper Ave,10150 Jasper Ave,Edmonton,AB,"T5J 1W5,(780) 426-3800",(780) 426-3800,53.54097,-113.49489
Tim Hortons - 10200 102 Ave,10200 102 Ave,Edmonton,AB,"T5J 4V7,(780) 420-0232",(780) 420-0232,53.54307,-113.49555
Tim Hortons - 10221 170 St NW,10221 170 St NW,Edmonton,AB,"T5P 4V4,(780) 484-0731",(780) 484-0731,53.54353,-113.61543
Tim Hortons - 10310 31 Ave NW (DT),10310 31 Ave NW,Edmonton,AB,"T6J 6Y5,(780) 462-5874",(780) 462-5874,53.46239,-113.50865
Tim Hortons - 10365 111 St NW (DT),10365 111 St NW,Edmonton,AB,"T5K 2V3,(780) 423-1111",(780) 423-1111,53.54565,-113.5121
Tim Hortons - 10519 82 Ave NW,10519 82 Ave NW,Edmonton,AB,"T6E 2A3,(780) 439-3205",(780) 439-3205,53.51811,-113.49128
Tim Hortons - 10665 Jasper Ave (DT),10665 Jasper Ave,Edmonton,AB,"T5J 3S9,(780) 420-6669",(780) 420-6669,53.54094,-113.50412
Tim Hortons - 10863 82 Ave NW,10863 82 Ave NW,Edmonton,AB,"T6E 2B2,(780) 433-3231",(780) 433-3231,53.51806,-113.51204
Tim Hortons - 11084 51 Ave NW (DT),11084 51 Ave NW,Edmonton,AB,"T6H 0L4,(780) 413-3477",(780) 413-3477,53.48828,-113.51401
Tim Hortons - 11241 Groat Road North West (DT),11241 Groat Road North West,Edmonton,AB,"T5M 4E7,(780) 455-1982",(780) 455-1982,53.56048,-113.55121
Tim Hortons - 11312 109 St NW,11312 109 St NW,Edmonton,AB,"T5G 2T7,(780) 474-2368",(780) 474-2368,53.56278,-113.50852
Tim Hortons - 11940-111 Ave. (DT),11940-111 Ave.,Edmonton,AB,"T5G 0E5,(780) 455-6686",(780) 455-6686,53.55893,-113.52825
Tim Hortons - 1203 Parsons Rd,1203 Parsons Rd,Edmonton,AB,"T6N 0A9,(780) 490-7385",(780) 490-7385,53.45667,-113.47977
Tim Hortons - 12820 82nd Street N.W (DT),12820 82nd Street N.W,Edmonton,AB,"T5E 2T2,(780) 456-3701",(780) 456-3701,53.58817,-113.46761
Tim Hortons - 12996 50 St NW (DT),12996 50 St NW,Edmonton,AB,"T5A 4L2,(780) 457-0221",(780) 457-0221,53.58947,-113.41821
Tim Hortons - 13015 118 Ave NW,13015 118 Ave NW,Edmonton,AB,"T5L 2L3,(780) 455-4165",(780) 455-4165,53.57035,-113.54809
Tim Hortons - 13410 97 St NW (DT),13410 97 St NW,Edmonton,AB,"T5E 4E1,(780) 413-0880",(780) 413-0880,53.59484,-113.49192
Tim Hortons - 13604 137 Avenue NW (DT),13604 137 Avenue NW,Edmonton,AB,"T5L 2B3,(780) 472-8018",(780) 472-8018,53.59954,-113.55538
Tim Hortons - 13704 50th St NW (DT),13704 50th St NW,Edmonton,AB,"T5A 4Y3,NA",NA,53.5965,-113.41359
Tim Hortons - 13831 127 St NW,13831 127 St NW,Edmonton,AB,"T6V 1A8,(780) 456-6041",(780) 456-6041,53.59997,-113.5411
Tim Hortons - 15606 111 Ave NW (DT),15606 111 Ave NW,Edmonton,AB,"T5M 2R7,(780) 447-5586",(780) 447-5586,53.55899,-113.59172
Tim Hortons - 15710 Stony Plain Road NW (DT),15710 Stony Plain Road NW,Edmonton,AB,"T5P 3Z5,(780) 484-8737",(780) 484-8737,53.54128,-113.59211
Tim Hortons - 16039 97 St NW (DT),16039 97 St NW,Edmonton,AB,"T5X 6E4,(780) 408-1710",(780) 408-1710,53.62364,-113.49199
Tim Hortons - 16438 87 Ave NW (DT),16438 87 Ave NW,Edmonton,AB,"T5R 4H2,(780) 443-7785",(780) 443-7785,53.51954,-113.60782
Tim Hortons - 17004 111th Ave (DT),17004 111th Ave,Edmonton,AB,"T5S 2Y1,(780) 482-1777",(780) 482-1777,53.55843,-113.64797
Tim Hortons - 17761 100 Ave NW (DT),17761 100 Ave NW,Edmonton,AB,"T5S 1R6,(780) 443-3778",(780) 443-3778,53.53797,-113.62584
Tim Hortons - 18314 Lessard Rd (DT),18314 Lessard Rd,Edmonton,AB,"T6M 2X5,(780) 444-9339",(780) 444-9339,53.48592,-113.6408
Tim Hortons - 18403 111th Ave (DT),18403 111th Ave,Edmonton,AB,"T5S 2V5,(780) 453-3305",(780) 453-3305,53.55961,-113.63969
Tim Hortons - 18521 Stony Plain Rd.,18521 Stony Plain Rd.,Edmonton,AB,"T5S 2V9,780-484-9913",780-484-9913,53.54126,-113.65141
Tim Hortons - 18531 Stony Plain Rd (DT),18531 Stony Plain Rd,Edmonton,AB,"T5S 2X6,(780) 483-9406",(780) 483-9406,53.54126,-113.65141
Tim Hortons - 2133 99 St NW (DT),2133 99 St NW,Edmonton,AB,"T6N 1L4,(780) 440-3666",(780) 440-3666,53.45144,-113.48597
Tim Hortons - 2309 Rabbit Hill Road NW (DT),2309 Rabbit Hill Road NW,Edmonton,AB,"T6R 3L6,(780) 432-4451",(780) 432-4451,53.45425,-113.56556
Tim Hortons - 2943 137 Ave NW (DT),2943 137 Ave NW,Edmonton,AB,"T5A 5G8,(780) 472-1627",(780) 472-1627,53.59955,-113.38829
Tim Hortons - 3341 34th Street (DT),3341 34th Street,Edmonton,AB,"T6T 0B5,(780) 450-0066",(780) 450-0066,53.45957,-113.39382
Tim Hortons - 3518 118 Ave (DT),3518 118 Ave,Edmonton,AB,"T5W 0Z4,(780) 477-1115",(780) 477-1115,53.57041,-113.39588
Tim Hortons - 3615 Calgary Trail NW,3615 Calgary Trail NW,Edmonton,AB,"T6J 5M8,(780) 436-9187",(780) 436-9187,53.47121,-113.49564
Tim Hortons - 420 Manning Crossing NW (DT),420 Manning Crossing NW,Edmonton,AB,"T5A 5A1,(780) 406-5955",(780) 406-5955,53.60011,-113.42388
Tim Hortons - 4310 - 66 St NW (DT),4310 - 66 St NW,Edmonton,AB,"T6K 4A2,(780) 485-9660",(780) 485-9660,53.48138,-113.44285
Tim Hortons - 4403 50th Street (DT),4403 50th Street,Edmonton,AB,"T6L 7A3,(780) 440-2479",(780) 440-2479,53.48221,-113.41801
Tim Hortons - 5010 99 St NW,5010 99 St NW,Edmonton,AB,"T6E 3N6,(403) 434-4951",(403) 434-4951,53.48721,-113.48617
Tim Hortons - 5204 23rd Ave NW (DT),5204 23rd Ave NW,Edmonton,AB,"T6L 6X4,(780) 469-9925",(780) 469-9925,53.45445,-113.42307
Tim Hortons - 6566 28 Ave NW,6566 28 Ave NW,Edmonton,AB,"T6L 6N3,(780) 461-4250",(780) 461-4250,53.45836,-113.43311
Tim Hortons - 7457 Roper Road N.W. (DT),7457 Roper Road N.W.,Edmonton,AB,"T6B 3K9,(780) 428-4470",(780) 428-4470,53.49281,-113.44205
Tim Hortons - 7502 Gateway Blvd NW (DT),7502 Gateway Blvd NW,Edmonton,AB,"T6E 6E8,(780) 434-7700",(780) 434-7700,53.51115,-113.49443
Tim Hortons - 8427 112 St NW,8427 112 St NW,Edmonton,AB,"T6G 1K5,(780) 413-7528",(780) 413-7528,53.52031,-113.52085
Tim Hortons - 8555 Argyll Rd NW (DT),8555 Argyll Rd NW,Edmonton,AB,"T6C 4B2,(780) 413-6384",(780) 413-6384,53.5004,-113.45833
Tim Hortons - 862 Parsons Road SW (DT),862 Parsons Road SW,Edmonton,AB,"T6X 0B4,(780) 485-0451",(780) 485-0451,53.42572,-113.47995
Tim Hortons - 906 111 St NW,906 111 St NW,Edmonton,AB,"T6J 6T6,(780) 439-5650",(780) 439-5650,53.48195,-113.51726
Tim Hortons - 9515 149 St NW,9515 149 St NW,Edmonton,AB,"T5P 1J7,(780) 452-4544",(780) 452-4544,53.53176,-113.578
Tim Hortons - 9628 153 Ave NW,9628 153 Ave NW,Edmonton,AB,"T5X 4H2,(780) 472-2480",(780) 472-2480,53.61412,-113.51484
Tim Hortons - 9655 63 Ave NW (DT),9655 63 Ave NW,Edmonton,AB,"T6E 0G2,(780) 433-7792",(780) 433-7792,53.49984,-113.47941
Tim Hortons - 9710 132 Ave NW (DT),9710 132 Ave NW,Edmonton,AB,"T5E 6J4,(780) 413-0880",(780) 413-0880,53.59211,-113.49197
Tim Hortons - 9850 34 Ave NW (DT),9850 34 Ave NW,Edmonton,AB,"T6E 6L1,(780) 433-2752",(780) 433-2752,53.4674,-113.48015
Tim Hortons - Beaumaris Shopping Centre (DT),"Beaumaris Shopping Centre,9902 153 Ave NW",Edmonton,AB,"T5X 6A4,(780) 448-9722",(780) 448-9722,53.61414,-113.4957
Tim Hortons - Capilano Mall (DT),"Capilano Mall,5003 101 Ave NW",Edmonton,AB,"T6A 0G7,(780) 468-2990",(780) 468-2990,53.54258,-113.41875
Tim Hortons - Central Academic Bldg.,"Central Academic Bldg.,125 University Ave",Edmonton,AB,"T6G 3V9,(780) 492-4874",(780) 492-4874,53.51657,-113.52651
Tim Hortons - CFB Edmonton (DT),CFB Edmonton,Edmonton,AB,"T5J 4J5,(780) 973-6944",(780) 973-6944,53.66819,-113.49057
Tim Hortons - Edmonton International Airport,"Edmonton International Airport,P.O. Box 9860",Edmonton,AB,"T5J 2T2,(780) 890-4003",(780) 890-4003,53.54337,-113.49563
"Tim Hortons - Grant MacEwan College, South Campus","Grant MacEwan College  South Campus,7319 29th Ave",Edmonton,AB,"T6K 2P1,(780) 497-4141",(780) 497-4141,53.46007,-113.44228
Tim Hortons - Grant MacEwan College,"Grant MacEwan College,10700 104 Ave NW",Edmonton,AB,"T5J 4S2,(780) 497-5047",(780) 497-5047,53.54624,-113.50473
Tim Hortons - Grant McEwan College,"Grant McEwan College,10700 104 Ave",Edmonton,AB,"T5H 0K3,(780) 497-5047",(780) 497-5047,53.54873,-113.48072
Tim Hortons - Lister Hall Rm 103,"Lister Hall Rm 103,125 University Campus NW",Edmonton,AB,"T6G 2H6,(780) 217-0495",(780) 217-0495,53.51416,-113.5126
Tim Hortons - Lister Hall,"Lister Hall,125 University Campus NW",Edmonton,AB,"T6G 2H6,(780) 492-7118",(780) 492-7118,53.51416,-113.5126
Tim Hortons - Market Square Esso,"Market Square Esso,2308 50 St NW",Edmonton,AB,"T6L 6Z4,(780) 465-9199",(780) 465-9199,53.46201,-113.4207
Tim Hortons - Northern Alberta Institute of Technology - ICT Building,"Northern Alberta Institute of Technology - ICT Building,11762 106 St NW",Edmonton,AB,"T5G 2R1,(780) 721-7673",(780) 721-7673,53.5683,-113.50301
Tim Hortons - Rexall Centre of Pharmacy & Health Research,"Rexall Centre of Pharmacy & Health Research,University of Alberta",Edmonton,AB,T6G 2E1,,53.51648,-113.52586
Tim Hortons - Royal Alexandra Hospital,"Royal Alexandra Hospital,10240 Kingsway NW",Edmonton,AB,"T5H 3V9,(780) 477-4597",(780) 477-4597,53.55554,-113.49585
"Tim Hortons - University of Alberta, Lister Hall","University of Alberta  Lister Hall,87th Ave",Edmonton,AB,"T6G 2H6,(780) 492-6373",(780) 492-6373,53.52283,-113.5343
Tim Hortons - West Edmonton Mall,"West Edmonton Mall,87710 170 St",Edmonton,AB,"T5T 4J2,(780) 489-3308",(780) 489-3308,53.5149,-113.61549
Tim Hortons -  (DT),,Edmonton,AB,T6N 1N3,(780) 461-4544,53.44634,-113.49056
Tim Hortons - 4209 3rd Ave (DT),4209 3rd Ave,Edson,AB,"T7E 1B8,(780) 723-7244",(780) 723-7244,53.58774,-116.41409
Tim Hortons - 105 Thickwood Blvd (DT),105 Thickwood Blvd,Fort McMurray,AB,"T9H 5E5,(780) 743-4433",(780) 743-4433,56.73225,-111.43211
Tim Hortons - 9701 Hardin St (DT),9701 Hardin St,Fort McMurray,AB,"T9H 1L2,(780) 743-1240",(780) 743-1240,56.72432,-111.38201
Tim Hortons - CNRL Horizon Oil Sands Project,"CNRL Horizon Oil Sands Project,Hwy. 63 North",Fort McMurray,AB,,(780) 598-3136,56.6721,-111.35055
Tim Hortons - Horizon Oil Sands,"Horizon Oil Sands,Hwy 63 North",Fort McMurray,AB,"T9H 5N4,NA",NA,56.7069,-111.3566
Tim Hortons - Horizon Oil Sands,"Horizon Oil Sands,Hwy 63 North",Fort McMurray,AB,"T9H 5N4,(780) 828-4351",(780) 828-4351,56.7069,-111.3566
